id,intent_status,intent_suggested,intent_reason,task_status,task_suggested,task_reason,entity_status,entity_reason,utter_quality,utter_issues,utter_rewrite,suitability,severity,overall_reason
v4_10,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging a spending event.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,MISSING_ENTITIES,The token 'yesterday' is a DATE entity but is incorrectly tagged as 'O'.,LOW,Contains filler words 'check karo' and 'stuff'.,i spent 968.75 on cash incentive refund yesterday,MODIFY,MEDIUM,Missing DATE entity for 'yesterday' and contains multiple filler words.
v4_11,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging a spending event.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,PERFECT,All entities are correctly identified and tagged.,HIGH,,,KEEP,NONE,No Issues Found
v4_12,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging a spending event.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,PERFECT,All entities are correctly identified and tagged. The long category 'ppf public provident fund safe deposit' is plausible.,HIGH,,,KEEP,NONE,No Issues Found
v4_13,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging a spending event.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,WRONG_TAGS,The token 'airtel' is a MERCHANT but is incorrectly tagged as 'B-CATEGORY'. 'network mobile pay' could be a CATEGORY.,HIGH,,,MODIFY,HIGH,"Incorrect tag type for 'airtel' (should be MERCHANT, not CATEGORY)."
v4_14,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging a spending event.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,PERFECT,All entities are correctly identified and tagged.,HIGH,,,KEEP,NONE,No Issues Found
v4_15,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging a spending event.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,PERFECT,All entities are correctly identified and tagged.,HIGH,,,KEEP,NONE,No Issues Found
v4_16,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging a spending event.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,WRONG_BOUNDARIES,"The entity 'robinhood cash balance' is incorrectly tagged as a single MERCHANT. 'Robinhood' is the MERCHANT, and 'cash balance' is likely a CATEGORY or account type. This requires splitting the entity and re-tagging.",MEDIUM,Contains filler words 'check karo'.,just spent 5882 aed on Robinhood cash balance,MODIFY,HIGH,Incorrect entity boundaries and tag types for MERCHANT and CATEGORY. Contains filler words 'check karo'.
v4_17,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging a spending event.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,PERFECT,All entities are correctly identified and tagged.,HIGH,,,KEEP,NONE,No Issues Found
v4_18,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging a spending event.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,MISSING_ENTITIES,The token '£' is tagged as 'B-CURRENCY' but should be 'I-AMOUNT' as it immediately follows '8.3k' which is tagged as 'B-AMOUNT'. The phrase 'a few hours ago' is a DATE entity but is incorrectly tagged as 'O'.,HIGH,,,MODIFY,MEDIUM,Incorrect tag for currency symbol and missing DATE entity for 'a few hours ago'.
v4_19,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging a spending event.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,WRONG_BOUNDARIES,"The entity 'mgl gas' is incorrectly tagged as a single MERCHANT. 'MGL' is the MERCHANT, and 'gas' is the CATEGORY. This requires splitting the entity and re-tagging.",HIGH,,,MODIFY,HIGH,Incorrect entity boundaries and tag types for MERCHANT and CATEGORY.
v4_20,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging a spending event.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,PERFECT,All entities are correctly identified and tagged.,HIGH,,,KEEP,NONE,No Issues Found
v4_21,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging a spending event.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,WRONG_BOUNDARIES,"The amount '$447749' is tagged as 'B-AMOUNT' for the entire token. The currency symbol '$' should be tagged as 'I-AMOUNT' if it's part of the amount token, or 'B-CURRENCY' if it's a separate token. Given it's a single token, it should be 'B-AMOUNT' for '$447749' or split into '$' (B-CURRENCY) and '447749' (B-AMOUNT).",HIGH,,,MODIFY,MEDIUM,Incorrect entity boundary for the amount/currency.
v4_22,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging a spending event.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,PERFECT,All entities are correctly identified and tagged.,HIGH,,,KEEP,NONE,No Issues Found
v4_23,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging a spending event.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,PERFECT,All entities are correctly identified and tagged.,HIGH,,,KEEP,NONE,No Issues Found
v4_24,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging a spending event.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,MISSING_ENTITIES,The token 'today' is a DATE entity but is incorrectly tagged as 'O'.,HIGH,,,MODIFY,MEDIUM,Missing DATE entity for 'today'.
v4_25,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging a spending event.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,PERFECT,All entities are correctly identified and tagged.,HIGH,,,KEEP,NONE,No Issues Found
v4_26,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging a spending event.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,WRONG_TAGS,The token '$' is tagged as 'B-CURRENCY' but should be 'I-AMOUNT' as it immediately follows '8993' which is tagged as 'B-AMOUNT'. This is inconsistent with standard BIO tagging.,HIGH,,,MODIFY,MEDIUM,Incorrect tag for currency symbol '$' (should be I-AMOUNT).
v4_27,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging a spending event.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,WRONG_BOUNDARIES,"The entity 'charter spectrum wifi' is incorrectly tagged as a single MERCHANT. 'Charter Spectrum' is the MERCHANT, and 'wifi' is the CATEGORY. This requires splitting the entity and re-tagging.",HIGH,,,MODIFY,HIGH,Incorrect entity boundaries and tag types for MERCHANT and CATEGORY.
v4_28,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging a spending event.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,PERFECT,All entities are correctly identified and tagged.,HIGH,,,KEEP,NONE,No Issues Found
v4_29,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging a spending event.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,WRONG_TAGS,"The token 'audible' is a MERCHANT but is incorrectly tagged as 'I-CATEGORY' within 'audiobook audible monthly service'. 'Audible' should be 'B-MERCHANT', and 'audiobook monthly service' could be a CATEGORY.",MEDIUM,Contains filler word 'stuff'.,570 on Audible audiobook monthly service tomorrow,MODIFY,HIGH,"Incorrect tag type for 'audible' (should be MERCHANT, not CATEGORY). Contains a filler word 'stuff'."
v4_30,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging a spending event.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,WRONG_BOUNDARIES,"The entity 'regal blockbuster cinematic seating tickets' is incorrectly tagged as a single MERCHANT. 'Regal Blockbuster' is likely the MERCHANT, and 'cinematic seating tickets' is the CATEGORY. This requires splitting the entity and re-tagging. The utterance also seems to combine two distinct expenses/categories ('fintech credit cards bill pay clearing' and 'regal blockbuster cinematic seating tickets') which makes it ambiguous.",LOW,"The utterance combines two distinct expense categories/merchants, making it ambiguous and difficult to parse correctly for a single expense log.",i spent 5610 on fintech credit cards bill pay clearing last wednesday,DELETE,CRITICAL,Ambiguous utterance combining two distinct expenses. Incorrect entity boundaries and tag types for MERCHANT and CATEGORY.
v4_31,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging a spending event.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,WRONG_BOUNDARIES,"The entity 'diagnostic clinic pathology lab blood test' is incorrectly tagged as a single CATEGORY. 'Diagnostic Clinic' is likely a MERCHANT, and 'pathology lab blood test' is the CATEGORY. This requires splitting the entity and re-tagging.",HIGH,,,MODIFY,HIGH,Incorrect entity boundaries and tag types for MERCHANT and CATEGORY.
v4_32,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging a spending event.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,WRONG_TAGS,"The category 'monthly rent transaction' is completely mismatched with the merchant 'spotify premium'. Spotify is a music streaming service, not related to rent. This makes the utterance nonsensical.",LOW,"The category is completely mismatched with the merchant, making the utterance nonsensical.",paid spotify premium 3757.91 dollars for music subscription,DELETE,CRITICAL,"Critical mismatch between merchant and category, making the utterance nonsensical."
v4_33,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging a spending event.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,WRONG_BOUNDARIES,"The entity 'redmud coffee thamel hot brew snacks' is incorrectly tagged as a single MERCHANT. 'Redmud Coffee Thamel' is likely the MERCHANT, and 'hot brew snacks' is the CATEGORY. This requires splitting the entity and re-tagging. Additionally, the category 'state tax rebate deposit' is completely mismatched with the merchant/items (coffee/snacks). This sounds like an income or refund, not an expense category.",LOW,"The category 'state tax rebate deposit' is completely mismatched with the merchant/items, making the utterance nonsensical.",blew aed5684.7 at Redmud Coffee Thamel for hot brew snacks 11/07/2026,DELETE,CRITICAL,"Critical mismatch between merchant/items and category, making the utterance nonsensical. Incorrect entity boundaries for merchant/category."
v4_34,WRONG,,"The category 'withholding refund' strongly suggests an income or refund, not an expense. This makes the 'ADD_EXPENSE' intent incorrect.",WRONG,,Task type 'LOG' is inconsistent if the intent is not 'ADD_EXPENSE'.,WRONG_BOUNDARIES,"The category 'withholding refund' is likely incorrect for an expense. The entity 'ee ltd mobile mobile cellular pay' is incorrectly tagged as a single MERCHANT. 'EE Ltd' is the MERCHANT, and 'mobile mobile cellular pay' is the CATEGORY. This requires splitting the entity and re-tagging.",LOW,"The category 'withholding refund' is highly suspicious for an expense, suggesting a wrong intent. | Contains Hindi filler words 'kharida', 'se', 'par'.",2.5k for EE Ltd mobile cellular pay 04-12-2026,DELETE,CRITICAL,"Critical issue: The category 'withholding refund' indicates a wrong intent (likely income/refund, not expense). Multiple entity boundary/tagging issues and filler words."
v4_35,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging a spending event.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,WRONG_BOUNDARIES,"The entity 'ajio reliance apparel' is incorrectly tagged as a single MERCHANT. 'Ajio Reliance' is likely the MERCHANT, and 'apparel' is the CATEGORY. This requires splitting the entity and re-tagging. Additionally, the category 'broadband wifi internet subscription' is completely mismatched with the merchant 'Ajio Reliance apparel' (which is an apparel retailer). This makes the utterance nonsensical.",LOW,"The category is completely mismatched with the merchant, making the utterance nonsensical.",forked out 6522903 inr for broadband wifi internet subscription,DELETE,CRITICAL,"Critical mismatch between merchant and category, making the utterance nonsensical. Incorrect entity boundaries for merchant/category."
v4_36,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging a spending event.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,WRONG_BOUNDARIES,"The entity 'kroger grocery weekly staples' is incorrectly tagged as a single MERCHANT. 'Kroger' is the MERCHANT, and 'grocery weekly staples' is the CATEGORY. This requires splitting the entity and re-tagging. The utterance also combines two distinct expense categories ('grocery weekly staples' and 'cardiologist heart rate screening consult'), making it ambiguous for a single expense log.",LOW,"The utterance combines two distinct expense categories/merchants, making it ambiguous and difficult to parse correctly for a single expense log.",just paid 1.9k to Kroger for grocery weekly staples,DELETE,CRITICAL,Ambiguous utterance combining two distinct expenses. Incorrect entity boundaries and tag types for MERCHANT and CATEGORY.
v4_37,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging a spending event.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,WRONG_TAGS,"The category 'fast food home delivery' is completely mismatched with the merchant 'reliance digital'. Reliance Digital sells electronics, not fast food. This makes the utterance nonsensical.",LOW,"The category is completely mismatched with the merchant, making the utterance nonsensical. | Contains filler word 'stuff'.",spent 8008.43 at Reliance Digital 12/08/2024 on electronics,DELETE,CRITICAL,"Critical mismatch between merchant and category, making the utterance nonsensical. Contains a filler word 'stuff'."
v4_38,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging a spending event.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,WRONG_BOUNDARIES,"The entity 'civil mall boutique clothing jacket' is incorrectly tagged as a single MERCHANT. 'Civil Mall' is the MERCHANT, and 'boutique clothing jacket' is the CATEGORY. This requires splitting the entity and re-tagging. The entity 'swiggy breakfast order' is incorrectly tagged as a CATEGORY. 'Swiggy' is a MERCHANT, and 'breakfast order' is the CATEGORY. This utterance also combines two distinct expenses/merchants/categories, making it ambiguous for a single expense log.",LOW,"The utterance combines two distinct expense categories/merchants, making it ambiguous and difficult to parse correctly for a single expense log. | Contains Hindi filler words 'mein', 'kharch', 'hua', 'ke', 'liye'.",6378833 kharch hua Civil Mall boutique clothing jacket mein today,DELETE,CRITICAL,Ambiguous utterance combining two distinct expenses. Multiple entity boundary/tagging issues and filler words.
v4_39,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging a spending event.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,WRONG_BOUNDARIES,"The entity 'barclays card statement' is incorrectly tagged as a single MERCHANT. 'Barclays' is the MERCHANT, and 'card statement' is a PAYMENTMETHOD or context, not part of the merchant name. This requires splitting the entity and re-tagging.",MEDIUM,Contains filler word 'dikhao'.,shelled out 2.1k on ophthalmologist eye checkup focus testing glasses yday at Barclays,MODIFY,MEDIUM,Incorrect entity boundaries and tag types for MERCHANT. Contains a filler word 'dikhao'.
v4_40,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging a spending event.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,MISSING_ENTITIES,The token 'uber' is a MERCHANT entity but is incorrectly tagged as 'O'.,HIGH,,,MODIFY,MEDIUM,Missing MERCHANT entity for 'uber'.
v4_41,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging a spending event.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,WRONG_BOUNDARIES,"The entity 'ntc prepaid sim voucher recharge' is incorrectly tagged as a single MERCHANT. 'NTC' is the MERCHANT, and 'prepaid sim voucher recharge' is the CATEGORY. This requires splitting the entity and re-tagging.",MEDIUM,Contains filler word 'ugh'.,NTC prepaid sim voucher recharge 8610,MODIFY,HIGH,Incorrect entity boundaries and tag types for MERCHANT and CATEGORY. Contains a filler word 'ugh'.
v4_42,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging a spending event.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,PERFECT,All entities are correctly identified and tagged.,HIGH,,,KEEP,NONE,No Issues Found
v4_43,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging a spending event.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,WRONG_BOUNDARIES,"The entity 'octopus energy smart home lights' is incorrectly tagged as a single MERCHANT. 'Octopus Energy' is the MERCHANT, and 'smart home lights' is the CATEGORY. This requires splitting the entity and re-tagging.",MEDIUM,Contains filler word 'lol'.,just dropped 8824.2 quid at Octopus Energy smart home lights,MODIFY,HIGH,Incorrect entity boundaries and tag types for MERCHANT and CATEGORY. Contains a filler word 'lol'.
v4_44,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging a spending event.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,WRONG_BOUNDARIES,"The entity 'feline kibble pet supermarket' is incorrectly tagged as a single CATEGORY. 'Pet Supermarket' is likely the MERCHANT, and 'feline kibble' is the CATEGORY. This requires splitting the entity and re-tagging.",HIGH,,,MODIFY,HIGH,Incorrect entity boundaries and tag types for MERCHANT and CATEGORY.
v4_45,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging a spending event.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,MISSING_ENTITIES,The token 'swiggy' is a MERCHANT entity but is incorrectly tagged as 'O'. The token 'order' could be a CATEGORY but is incorrectly tagged as 'O'.,HIGH,,,MODIFY,CRITICAL,Missing MERCHANT and CATEGORY entities.
v4_46,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging a spending event.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,PERFECT,All entities are correctly identified and tagged.,MEDIUM,Contains filler word 'oops'.,6564 on Barbeque Nation,MODIFY,LOW,Contains a filler word 'oops'.
v4_47,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging a spending event.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,PERFECT,All entities are correctly identified and tagged.,MEDIUM,Contains filler word 'yikes'.,8.2k for commercial real estate loan installment,MODIFY,LOW,Contains a filler word 'yikes'.
v4_48,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging a spending event.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,PERFECT,All entities are correctly identified and tagged.,MEDIUM,Contains filler word 'dikhao'.,18-10-2024 Pets at Home hit me for 7.4k,MODIFY,LOW,Contains a filler word 'dikhao'.
v4_49,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging a spending event.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,PERFECT,All entities are correctly identified and tagged.,LOW,"Contains multiple filler words: 'batao', 'like', 'idk', 'why'.",spent 7699 on online food delivery booking,MODIFY,MEDIUM,Contains multiple filler words.
v4_50,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging an expense.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,PERFECT,All relevant entities are correctly identified and tagged with accurate boundaries and labels.,MEDIUM,"Utterance contains informal language ('gone to', 'smh').",,KEEP,NONE,No Issues Found
v4_51,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging an expense.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,MISSING_ENTITIES,The entity 'petrol' which represents a CATEGORY is untagged.,HIGH,,,MODIFY,MEDIUM,Missing CATEGORY entity 'petrol'.
v4_52,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging an expense.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,WRONG_BOUNDARIES,"The phrase 'coffee run' should be tagged as a CATEGORY. The entity 'khalti digital wallet top-up mobile' is incorrectly tagged as a single MERCHANT; 'khalti digital wallet' is likely the MERCHANT, and 'top-up mobile' should be a CATEGORY.",MEDIUM,The description for the merchant/category is quite verbose and could be clearer.,,MODIFY,HIGH,"Missing CATEGORY entity 'coffee run'. Merchant entity 'khalti digital wallet top-up mobile' is too broad; 'khalti digital wallet' should be MERCHANT, and 'top-up mobile' should be CATEGORY."
v4_53,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging an expense.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,WRONG_BOUNDARIES,"The entity 'kgh thamel room night stay reservation' is incorrectly tagged as a single MERCHANT. 'kgh thamel' should be the MERCHANT, and 'room night stay reservation' should be a CATEGORY.",HIGH,,,MODIFY,HIGH,"Merchant entity 'kgh thamel room night stay reservation' is too broad. 'kgh thamel' should be MERCHANT, and 'room night stay reservation' should be CATEGORY."
v4_54,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging an expense.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,PERFECT,All relevant entities are correctly identified and tagged with accurate boundaries and labels.,MEDIUM,Utterance contains informal language ('burnt on').,,KEEP,NONE,No Issues Found
v4_55,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging an expense.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,MISSING_ENTITIES,The entity 'rent' which represents a CATEGORY is untagged.,HIGH,,,MODIFY,MEDIUM,Missing CATEGORY entity 'rent'.
v4_56,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging an expense.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,PERFECT,All relevant entities are correctly identified and tagged with accurate boundaries and labels.,MEDIUM,Utterance contains informal language ('splurge').,,KEEP,NONE,No Issues Found
v4_57,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging an expense.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,WRONG_BOUNDARIES,"The entity 'bp petrol station diesel fill' is incorrectly tagged as a single MERCHANT. 'bp' should be the MERCHANT, and 'petrol station diesel fill' should be a CATEGORY.",MEDIUM,Utterance contains informal language ('no regrets').,,MODIFY,HIGH,"Merchant entity 'bp petrol station diesel fill' is too broad. 'bp' should be MERCHANT, and 'petrol station diesel fill' should be CATEGORY."
v4_58,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging an expense.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,PERFECT,All relevant entities are correctly identified and tagged with accurate boundaries and labels.,MEDIUM,"Utterance contains informal language ('ugh', 'dikhao again').",,KEEP,NONE,No Issues Found
v4_59,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging an expense.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,PERFECT,All relevant entities are correctly identified and tagged with accurate boundaries and labels.,HIGH,,,KEEP,NONE,No Issues Found
v4_60,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging an expense.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,MISSING_ENTITIES,The entity 'today' which represents a DATE is untagged.,HIGH,,,MODIFY,MEDIUM,Missing DATE entity 'today'.
